# depth_mm,edep_keV_per_event
0.0002,45.95579
0.0006,46.237197
0.001,46.594533
0.0014,46.699108
0.0018,46.761929
0.0022,47.207293
0.0026,47.379433
0.003,47.654092
0.0034,47.801934
0.0038,48.093685
0.0042,48.310414
0.0046,48.646527
0.005,48.789575
0.0054,49.082465
0.0058,49.205975
0.0062,49.44067
0.0066,49.891597
0.007,50.098327
0.0074,50.486189
0.0078,50.66442
0.0082,50.988818
0.0086,51.250073
0.009,51.51128
0.0094,51.803873
0.0098,52.304092
0.0102,52.550565
0.0106,53.07653
0.011,53.274219
0.0114,53.360854
0.0118,53.854876
0.0122,54.071382
0.0126,54.496487
0.013,54.835164
0.0134,55.245012
0.0138,55.67905
0.0142,56.033241
0.0146,56.444977
0.015,56.82146
0.0154,57.290726
0.0158,57.671913
0.0162,58.165849
0.0166,58.534422
0.017,59.148694
0.0174,59.625104
0.0178,60.075592
0.0182,60.438644
0.0186,61.078668
0.019,61.590338
0.0194,62.273924
0.0198,62.81635
0.0202,63.317409
0.0206,63.924784
0.021,64.540142
0.0214,65.295263
0.0218,65.841716
0.0222,66.410975
0.0226,67.471717
0.023,68.137032
0.0234,68.861209
0.0238,69.776431
0.0242,70.249141
0.0246,71.00786
0.025,72.066765
0.0254,73.096131
0.0258,73.720243
0.0262,74.542239
0.0266,75.728555
0.027,76.800282
0.0274,77.819321
0.0278,78.928099
0.0282,80.145029
0.0286,81.157048
0.029,82.572309
0.0294,83.707981
0.0298,85.165827
0.0302,86.602363
0.0306,88.080803
0.031,89.639029
0.0314,91.166346
0.0318,92.977054
0.0322,94.812042
0.0326,96.881507
0.033,99.042656
0.0334,101.22306
0.0338,103.73884
0.0342,106.40676
0.0346,109.17189
0.035,112.39354
0.0354,115.91283
0.0358,119.20413
0.0362,122.33889
0.0366,126.22419
0.037,129.12223
0.0374,131.13341
0.0378,130.2563
0.0382,123.72822
0.0386,107.22486
0.039,80.369044
0.0394,47.190052
0.0398,18.798779
0.0402,4.2043083
0.0406,0.53470223
0.041,0.037612366
0.0414,0
0.0418,0
0.0422,0
0.0426,0
0.043,0
0.0434,0
0.0438,0
0.0442,0
0.0446,0
0.045,0
0.0454,0
0.0458,0
0.0462,0
0.0466,0
0.047,0
0.0474,0
0.0478,0
0.0482,0
0.0486,0
0.049,0
0.0494,0
0.0498,0
0.0502,0
0.0506,0
0.051,0
0.0514,0
0.0518,0
0.0522,0
0.0526,0
0.053,0
0.0534,0
0.0538,0
0.0542,0
0.0546,0
0.055,0
0.0554,0
0.0558,0
0.0562,0
0.0566,0
0.057,0
0.0574,0
0.0578,0
0.0582,0
0.0586,0
0.059,0
0.0594,0
0.0598,0
0.0602,0
0.0606,0
0.061,0
0.0614,0
0.0618,0
0.0622,0
0.0626,0
0.063,0
0.0634,0
0.0638,0
0.0642,0
0.0646,0
0.065,0
0.0654,0
0.0658,0
0.0662,0
0.0666,0
0.067,0
0.0674,0
0.0678,0
0.0682,0
0.0686,0
0.069,0
0.0694,0
0.0698,0
0.0702,0
0.0706,0
0.071,0
0.0714,0
0.0718,0
0.0722,0
0.0726,0
0.073,0
0.0734,0
0.0738,0
0.0742,0
0.0746,0
0.075,0
0.0754,0
0.0758,0
0.0762,0
0.0766,0
0.077,0
0.0774,0
0.0778,0
0.0782,0
0.0786,0
0.079,0
0.0794,0
0.0798,0
