# depth_mm,edep_keV_per_event
0.25,35.364152
0.75,36.239237
1.25,36.733865
1.75,36.618913
2.25,36.694184
2.75,36.713027
3.25,37.025683
3.75,37.251731
4.25,37.284783
4.75,37.493706
5.25,37.707262
5.75,37.860581
6.25,37.860104
6.75,38.228984
7.25,38.368343
7.75,38.529746
8.25,38.568065
8.75,38.781644
9.25,38.913455
9.75,39.065533
10.25,39.124726
10.75,39.55775
11.25,39.574913
11.75,39.830004
12.25,40.000066
12.75,40.237132
13.25,40.476166
13.75,40.557099
14.25,40.758177
14.75,41.033431
15.25,41.087872
15.75,41.385036
16.25,41.634196
16.75,41.870389
17.25,42.100975
17.75,42.126396
18.25,42.399954
18.75,42.738692
19.25,42.839309
19.75,43.130693
20.25,43.418591
20.75,43.741222
21.25,43.917154
21.75,44.303469
22.25,44.564757
22.75,44.605506
23.25,44.950463
23.75,45.235164
24.25,45.572309
24.75,45.759751
25.25,46.174083
25.75,46.453904
26.25,46.713202
26.75,47.253602
27.25,47.424302
27.75,47.60306
28.25,47.98887
28.75,48.359595
29.25,48.679436
29.75,49.100211
30.25,49.436245
30.75,49.94007
31.25,50.269141
31.75,50.704181
32.25,51.145558
32.75,51.377816
33.25,51.857866
33.75,52.389875
34.25,52.810768
34.75,53.229045
35.25,53.673778
35.75,54.198332
36.25,54.69416
36.75,55.392627
37.25,55.784635
37.75,56.251016
38.25,57.039373
38.75,57.586048
39.25,58.164333
39.75,58.914297
40.25,59.429759
40.75,60.25824
41.25,60.953635
41.75,61.679383
42.25,62.606899
42.75,63.157823
43.25,64.294381
43.75,65.101187
44.25,66.182184
44.75,66.849161
45.25,68.049928
45.75,68.96612
46.25,70.386435
46.75,71.542802
47.25,72.846233
47.75,74.155774
48.25,75.667901
48.75,77.568374
49.25,79.089591
49.75,80.850112
50.25,82.56838
50.75,84.7708
51.25,87.406028
51.75,89.604247
52.25,92.431377
52.75,95.296403
53.25,98.860041
53.75,102.44313
54.25,106.24811
54.75,109.92835
55.25,113.81649
55.75,117.06926
56.25,119.01468
56.75,119.73985
57.25,117.71341
57.75,112.68846
58.25,103.98023
58.75,91.443429
59.25,76.206941
59.75,58.693013
60.25,40.397861
60.75,23.502411
61.25,10.926237
61.75,3.6311689
62.25,0.83095325
62.75,0.11126458
63.25,0.015407294
63.75,0
64.25,0
64.75,0
65.25,0
65.75,0
66.25,0
66.75,0
67.25,0
67.75,0
68.25,0
68.75,0
69.25,0
69.75,0
70.25,0
70.75,0
71.25,0
71.75,0
72.25,0
72.75,0
73.25,0
73.75,0
74.25,0
74.75,0
75.25,0
75.75,0
76.25,0
76.75,0
77.25,0
77.75,0
78.25,0
78.75,0
79.25,0
79.75,0
80.25,0
80.75,0
81.25,0
81.75,0
82.25,0
82.75,0
83.25,0
83.75,0
84.25,0
84.75,0
85.25,0
85.75,0
86.25,0
86.75,0
87.25,0
87.75,0
88.25,0
88.75,0
89.25,0
89.75,0
90.25,0
90.75,0
91.25,0
91.75,0
92.25,0
92.75,0
93.25,0
93.75,0
94.25,0
94.75,0
95.25,0
95.75,0
96.25,0
96.75,0
97.25,0
97.75,0
98.25,0
98.75,0
99.25,0
99.75,0
