# depth_mm,edep_keV_per_event
0.25,45.415623
0.75,46.29872
1.25,46.662906
1.75,46.938691
2.25,47.27678
2.75,47.463556
3.25,47.883475
3.75,48.171789
4.25,48.43893
4.75,48.865654
5.25,49.19987
5.75,49.728692
6.25,49.903812
6.75,50.594816
7.25,50.835305
7.75,51.318502
8.25,51.477176
8.75,52.06846
9.25,52.564624
9.75,53.193426
10.25,53.493531
10.75,53.959105
11.25,54.553577
11.75,54.991427
12.25,55.559154
12.75,56.057849
13.25,56.497585
13.75,57.295364
14.25,57.770202
14.75,58.361435
15.25,59.202827
15.75,59.90704
16.25,60.608393
16.75,61.314117
17.25,62.207717
17.75,62.931739
18.25,63.627827
18.75,64.558802
19.25,65.443732
19.75,66.455273
20.25,67.574411
20.75,68.520891
21.25,69.877035
21.75,70.812551
22.25,72.085772
22.75,73.288787
23.25,75.000853
23.75,76.418652
24.25,78.244805
24.75,79.682725
25.25,81.519878
25.75,83.970904
26.25,85.665278
26.75,88.179848
27.25,90.936789
27.75,93.906264
28.25,96.956912
28.75,100.48551
29.25,104.30947
29.75,108.32634
30.25,112.33437
30.75,115.86397
31.25,118.93596
31.75,120.93794
32.25,120.87076
32.75,117.9194
33.25,110.83914
33.75,100.20932
34.25,85.453758
34.75,68.133366
35.25,49.515791
35.75,30.118316
36.25,11.689909
36.75,2.1122847
37.25,0.16236446
37.75,0.0046828363
38.25,0
38.75,0
39.25,0
39.75,0
40.25,0
40.75,0
41.25,0
41.75,0
42.25,0
42.75,0
43.25,0
43.75,0
44.25,0
44.75,0
45.25,0
45.75,0
46.25,0
46.75,0
47.25,0
47.75,0
48.25,0
48.75,0
49.25,0
49.75,0
50.25,0
50.75,0
51.25,0
51.75,0
52.25,0
52.75,0
53.25,0
53.75,0
54.25,0
54.75,0
55.25,0
55.75,0
56.25,0
56.75,0
57.25,0
57.75,0
58.25,0
58.75,0
59.25,0
59.75,0
60.25,0
60.75,0
61.25,0
61.75,0
62.25,0
62.75,0
63.25,0
63.75,0
64.25,0
64.75,0
65.25,0
65.75,0
66.25,0
66.75,0
67.25,0
67.75,0
68.25,0
68.75,0
69.25,0
69.75,0
70.25,0
70.75,0
71.25,0
71.75,0
72.25,0
72.75,0
73.25,0
73.75,0
74.25,0
74.75,0
75.25,0
75.75,0
76.25,0
76.75,0
77.25,0
77.75,0
78.25,0
78.75,0
79.25,0
79.75,0
80.25,0
80.75,0
81.25,0
81.75,0
82.25,0
82.75,0
83.25,0
83.75,0
84.25,0
84.75,0
85.25,0
85.75,0
86.25,0
86.75,0
87.25,0
87.75,0
88.25,0
88.75,0
89.25,0
89.75,0
90.25,0
90.75,0
91.25,0
91.75,0
92.25,0
92.75,0
93.25,0
93.75,0
94.25,0
94.75,0
95.25,0
95.75,0
96.25,0
96.75,0
97.25,0
97.75,0
98.25,0
98.75,0
99.25,0
99.75,0
