# depth_mm,edep_keV_per_event
0.25,39.599548
0.75,40.637393
1.25,40.781821
1.75,40.991874
2.25,41.209343
2.75,41.364281
3.25,41.780701
3.75,41.772725
4.25,42.10378
4.75,42.424556
5.25,42.473566
5.75,42.512197
6.25,43.070927
6.75,43.263561
7.25,43.538217
7.75,43.747837
8.25,43.799141
8.75,44.253262
9.25,44.469621
9.75,44.677916
10.25,45.0448
10.75,45.394081
11.25,45.444879
11.75,46.006277
12.25,46.223285
12.75,46.485767
13.25,46.656437
13.75,47.237697
14.25,47.426533
14.75,47.757979
15.25,48.062564
15.75,48.495973
16.25,48.624545
16.75,49.222853
17.25,49.536313
17.75,50.007824
18.25,50.34414
18.75,50.690912
19.25,51.042579
19.75,51.491718
20.25,51.844061
20.75,52.573565
21.25,52.788636
21.75,53.35793
22.25,53.93303
22.75,54.240077
23.25,54.883135
23.75,55.570764
24.25,55.846141
24.75,56.559725
25.25,56.875212
25.75,57.910368
26.25,58.296783
26.75,58.782541
27.25,59.720052
27.75,60.348641
28.25,61.28066
28.75,61.941571
29.25,62.826279
29.75,63.600085
30.25,64.398486
30.75,65.468559
31.25,66.204424
31.75,67.346683
32.25,68.439071
32.75,69.454799
33.25,70.633975
33.75,71.710253
34.25,73.28319
34.75,74.718477
35.25,75.998734
35.75,77.713846
36.25,79.010612
36.75,81.149427
37.25,83.078292
37.75,85.181255
38.25,87.579973
38.75,89.933827
39.25,92.942902
39.75,95.881144
40.25,99.273658
40.75,102.94724
41.25,107.04781
41.75,111.15769
42.25,114.86711
42.75,117.94862
43.25,120.2268
43.75,120.53369
44.25,118.16626
44.75,112.76458
45.25,103.02605
45.75,89.404887
46.25,73.186738
46.75,55.299258
47.25,35.874732
47.75,18.12684
48.25,5.8205244
48.75,1.1931318
49.25,0.10925345
49.75,0.0067542486
50.25,0
50.75,0
51.25,0
51.75,0
52.25,0
52.75,0
53.25,0
53.75,0
54.25,0
54.75,0
55.25,0
55.75,0
56.25,0
56.75,0
57.25,0
57.75,0
58.25,0
58.75,0
59.25,0
59.75,0
60.25,0
60.75,0
61.25,0
61.75,0
62.25,0
62.75,0
63.25,0
63.75,0
64.25,0
64.75,0
65.25,0
65.75,0
66.25,0
66.75,0
67.25,0
67.75,0
68.25,0
68.75,0
69.25,0
69.75,0
70.25,0
70.75,0
71.25,0
71.75,0
72.25,0
72.75,0
73.25,0
73.75,0
74.25,0
74.75,0
75.25,0
75.75,0
76.25,0
76.75,0
77.25,0
77.75,0
78.25,0
78.75,0
79.25,0
79.75,0
80.25,0
80.75,0
81.25,0
81.75,0
82.25,0
82.75,0
83.25,0
83.75,0
84.25,0
84.75,0
85.25,0
85.75,0
86.25,0
86.75,0
87.25,0
87.75,0
88.25,0
88.75,0
89.25,0
89.75,0
90.25,0
90.75,0
91.25,0
91.75,0
92.25,0
92.75,0
93.25,0
93.75,0
94.25,0
94.75,0
95.25,0
95.75,0
96.25,0
96.75,0
97.25,0
97.75,0
98.25,0
98.75,0
99.25,0
99.75,0
