# depth_mm,edep_keV_per_event
0.25,31.968893
0.75,32.982592
1.25,33.094297
1.75,33.226669
2.25,33.200332
2.75,33.375404
3.25,33.536149
3.75,33.553016
4.25,33.779383
4.75,33.771192
5.25,34.063302
5.75,34.326209
6.25,34.320366
6.75,34.478542
7.25,34.417474
7.75,34.410366
8.25,34.569568
8.75,34.778201
9.25,34.855787
9.75,34.856622
10.25,35.329478
10.75,35.358557
11.25,35.426275
11.75,35.363869
12.25,35.672475
12.75,35.64109
13.25,35.964257
13.75,36.111851
14.25,35.957512
14.75,36.114603
15.25,36.330348
15.75,36.68012
16.25,36.610374
16.75,36.802046
17.25,36.965412
17.75,37.117667
18.25,37.019486
18.75,37.33999
19.25,37.446715
19.75,37.595933
20.25,37.820452
20.75,37.772254
21.25,38.313837
21.75,38.355316
22.25,38.356399
22.75,38.475585
23.25,38.714616
23.75,38.998273
24.25,39.04168
24.75,39.196801
25.25,39.478265
25.75,39.560342
26.25,39.898191
26.75,40.02422
27.25,40.125916
27.75,40.358018
28.25,40.636911
28.75,40.845252
29.25,40.95334
29.75,41.21118
30.25,41.398676
30.75,41.551984
31.25,41.813479
31.75,41.839132
32.25,42.247414
32.75,42.439243
33.25,42.644455
33.75,42.873354
34.25,43.242566
34.75,43.458087
35.25,43.652679
35.75,44.002605
36.25,43.99062
36.75,44.475835
37.25,44.441681
37.75,44.989499
38.25,45.401414
38.75,45.507974
39.25,45.66814
39.75,46.194611
40.25,46.376858
40.75,46.738601
41.25,46.845949
41.75,47.345177
42.25,47.533373
42.75,47.892846
43.25,48.348226
43.75,48.815768
44.25,48.933326
44.75,49.704964
45.25,49.69992
45.75,50.20276
46.25,50.51365
46.75,50.917452
47.25,51.325896
47.75,51.80921
48.25,52.123081
48.75,52.616299
49.25,52.983329
49.75,53.561841
50.25,54.244871
50.75,54.710022
51.25,55.036238
51.75,55.761356
52.25,56.402475
52.75,57.11662
53.25,57.422609
53.75,58.075373
54.25,58.70101
54.75,59.471855
55.25,59.930317
55.75,61.050988
56.25,61.681873
56.75,62.403715
57.25,63.320555
57.75,64.189609
58.25,64.834272
58.75,65.974407
59.25,66.848132
59.75,68.044107
60.25,69.121557
60.75,70.192083
61.25,71.429126
61.75,72.959268
62.25,73.972049
62.75,75.749581
63.25,77.003514
63.75,79.063199
64.25,80.647869
64.75,82.451998
65.25,84.719474
65.75,86.902245
66.25,89.289475
66.75,92.382246
67.25,95.173993
67.75,98.506684
68.25,102.00943
68.75,105.82768
69.25,109.78083
69.75,113.21739
70.25,116.27757
70.75,118.20993
71.25,118.56207
71.75,116.47958
72.25,111.60981
72.75,103.10538
73.25,91.247363
73.75,76.723583
74.25,60.019519
74.75,42.542651
75.25,26.768983
75.75,14.032032
76.25,6.0279052
76.75,2.0382276
77.25,0.54415232
77.75,0.096495411
78.25,0.013867544
78.75,0.0035388533
79.25,0
79.75,0
80.25,0
80.75,0
81.25,0
81.75,0
82.25,0
82.75,0
83.25,0
83.75,0
84.25,0
84.75,0
85.25,0
85.75,0
86.25,0
86.75,0
87.25,0
87.75,0
88.25,0
88.75,0
89.25,0
89.75,0
90.25,0
90.75,0
91.25,0
91.75,0
92.25,0
92.75,0
93.25,0
93.75,0
94.25,0
94.75,0
95.25,0
95.75,0
96.25,0
96.75,0
97.25,0
97.75,0
98.25,0
98.75,0
99.25,0
99.75,0
