# depth_mm,edep_keV_per_event
0.0002,42.053528
0.0006,42.09802
0.001,42.349399
0.0014,42.351092
0.0018,42.666887
0.0022,42.684209
0.0026,42.938352
0.003,43.107905
0.0034,43.394565
0.0038,43.315534
0.0042,43.788138
0.0046,43.701113
0.005,43.825544
0.0054,44.208194
0.0058,44.468514
0.0062,44.437288
0.0066,44.783043
0.007,44.887057
0.0074,45.040172
0.0078,45.239067
0.0082,45.472077
0.0086,45.737798
0.009,45.923395
0.0094,46.034645
0.0098,46.233223
0.0102,46.4155
0.0106,46.817641
0.011,46.983449
0.0114,47.117665
0.0118,47.373878
0.0122,47.585895
0.0126,47.906226
0.013,47.96247
0.0134,48.142484
0.0138,48.393396
0.0142,48.83848
0.0146,49.10745
0.015,49.160986
0.0154,49.493643
0.0158,49.935425
0.0162,50.398853
0.0166,50.422819
0.017,50.736949
0.0174,51.01269
0.0178,51.200874
0.0182,51.547932
0.0186,52.036948
0.019,52.186116
0.0194,52.543816
0.0198,52.812248
0.0202,52.880901
0.0206,53.530636
0.021,53.71765
0.0214,54.194224
0.0218,54.542136
0.0222,54.98945
0.0226,55.38849
0.023,55.706807
0.0234,55.921026
0.0238,56.423154
0.0242,56.908848
0.0246,57.314549
0.025,57.814927
0.0254,58.164911
0.0258,58.735767
0.0262,59.052532
0.0266,59.540313
0.027,60.239919
0.0274,60.677644
0.0278,61.379203
0.0282,61.653259
0.0286,62.253694
0.029,62.821826
0.0294,63.372663
0.0298,64.103724
0.0302,64.685194
0.0306,65.339604
0.031,65.941864
0.0314,66.765506
0.0318,67.365252
0.0322,68.168885
0.0326,68.98127
0.033,69.663876
0.0334,70.66404
0.0338,71.201565
0.0342,72.07576
0.0346,72.987557
0.035,74.050715
0.0354,74.904581
0.0358,75.954117
0.0362,76.859907
0.0366,77.84187
0.037,79.143275
0.0374,80.349565
0.0378,81.467814
0.0382,82.714664
0.0386,83.939833
0.039,85.531204
0.0394,86.797506
0.0398,88.432307
0.0402,89.799679
0.0406,91.536651
0.041,93.406915
0.0414,95.322975
0.0418,97.107907
0.0422,99.440607
0.0426,101.88043
0.043,104.21916
0.0434,106.79146
0.0438,109.98138
0.0442,112.98557
0.0446,116.27012
0.045,119.78179
0.0454,123.25222
0.0458,126.55222
0.0462,129.16365
0.0466,130.77798
0.047,128.74641
0.0474,119.51538
0.0478,101.249
0.0482,74.099267
0.0486,43.373016
0.049,18.481722
0.0494,5.1280417
0.0498,1.0038423
0.0502,0.11917839
0.0506,0
0.051,0
0.0514,0
0.0518,0
0.0522,0
0.0526,0
0.053,0
0.0534,0
0.0538,0
0.0542,0
0.0546,0
0.055,0
0.0554,0
0.0558,0
0.0562,0
0.0566,0
0.057,0
0.0574,0
0.0578,0
0.0582,0
0.0586,0
0.059,0
0.0594,0
0.0598,0
0.0602,0
0.0606,0
0.061,0
0.0614,0
0.0618,0
0.0622,0
0.0626,0
0.063,0
0.0634,0
0.0638,0
0.0642,0
0.0646,0
0.065,0
0.0654,0
0.0658,0
0.0662,0
0.0666,0
0.067,0
0.0674,0
0.0678,0
0.0682,0
0.0686,0
0.069,0
0.0694,0
0.0698,0
0.0702,0
0.0706,0
0.071,0
0.0714,0
0.0718,0
0.0722,0
0.0726,0
0.073,0
0.0734,0
0.0738,0
0.0742,0
0.0746,0
0.075,0
0.0754,0
0.0758,0
0.0762,0
0.0766,0
0.077,0
0.0774,0
0.0778,0
0.0782,0
0.0786,0
0.079,0
0.0794,0
0.0798,0
